query,room,item_type_same,branded_terms,category hierarchy,product_class,category,sub_category,materials,item_type_unconstrained,query_classification
12v dirt bike,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,No Category Fits,Outdoor / Outdoor Recreation / Backyard Play / Kids Cars & Ride-On Toys sep Outdoor / Outdoor Recreation / Backyard Play / Climbing Toys & Slides sep Storage & Organization / Garage & Outdoor Storage & Organization / Bike & Sport Racks sep Baby & Kids / Toddler & Kids Playroom / Indoor Play / Dollhouses & Accessories
3 1/2 inch drawer pull,unknown,unknown,unknown,unknown,Cabinet and Drawer Pulls,Home Improvement , Hardware ,,No Category Fits,Home Improvement / Hardware / Cabinet Hardware / Cabinet & Drawer Pulls sep Home Improvement / Hardware / Cabinet Hardware / Cabinet & Drawer Pulls / Black Cabinet & Drawer Pulls sep Home Improvement / Hardware / Cabinet Hardware / Cabinet & Drawer Knobs / Black Cabinet & Drawer Knobs sep Home Improvement / Hardware / Cabinet Hardware / Cabinet & Drawer Pulls / Bronze Cabinet & Drawer Pulls sep Home Improvement / Hardware / Cabinet Hardware / Cabinet & Drawer Knobs / Brass Cabinet & Drawer Knobs
3 piece rug set with runners,unknown,unknown,unknown,unknown,Area Rugs,Rugs ,unknown,unknown,No Category Fits,Rugs / Area Rugs sep Rugs / Kitchen Mats sep Rugs / Doormats sep Furniture / Bedroom Furniture / Armoires & Wardrobes sep Furniture / Office Furniture / Chair Mats
3/4 size mattress,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,No Category Fits,Furniture / Bedroom Furniture / Beds & Headboards / Beds / Queen Size Beds sep Bed Accessories sep Baby & Kids / Toddler & Kids Bedroom Furniture / Kids Beds sep Bed & Bath / Bedding Essentials / Bed Pillows
30 inch bathroom vanity,bathroom,unknown,unknown,unknown,Vanities,Home Improvement , Bathroom Remodel & Bathroom Fixtures ,unknown,No Category Fits,Home Improvement / Bathroom Remodel & Bathroom Fixtures / Bathroom Vanities / All Bathroom Vanities sep Furniture / Bedroom Furniture / Nightstands sep Décor & Pillows / Mirrors / All Mirrors / Leaning & Floor Mirrors sep Storage & Organization / Bathroom Storage & Organization / Bathroom Cabinets & Shelving sep Lighting / Wall Lights / Bathroom Vanity Lighting / Traditional Bathroom Vanity Lighting
46 inch closet door,unknown,unknown,unknown,unknown,unknown,Home Improvement , Doors & Door Hardware ,unknown,No Category Fits,Home Improvement / Doors & Door Hardware / Interior Doors sep Furniture / Bedroom Furniture / Armoires & Wardrobes sep Home Improvement / Doors & Door Hardware / Interior Doors / Sliding Interior Doors sep Home Improvement / Doors & Door Hardware / Door Hardware & Accessories / Door Levers sep Home Improvement / Doors & Door Hardware / Door Hardware & Accessories / Door Levers / Round Door Levers
48 in entry table with side by side drawer,unknown,unknown,unknown,Furniture / Living Room Furniture / Console Tables,unknown,Furniture , Living Room Furniture ,unknown,No Category Fits,Furniture / Living Room Furniture / Console Tables sep Furniture / Bedroom Furniture / Jewelry Armoires sep Storage & Organization / Storage Containers & Drawers / Storage Drawers sep Furniture / Living Room Furniture / Coffee Tables & End Tables / End & Side Tables sep Furniture / Bedroom Furniture / Armoires & Wardrobes
48 inch bathroom vanity with trough sink,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,No Category Fits,Home Improvement / Bathroom Remodel & Bathroom Fixtures / Bathroom Vanities / All Bathroom Vanities sep Furniture / Office Furniture / Office Stools sep Home Improvement / Bathroom Remodel & Bathroom Fixtures / Bathroom Vanities / All Bathroom Vanities / Traditional Bathroom Vanities sep Décor & Pillows / Mirrors / All Mirrors sep Lighting / Wall Lights / Bathroom Vanity Lighting
48 inch kitchen hood,kitchen,unknown,unknown,unknown,Range Hoods,Appliances , Kitchen Appliances ,unknown,No Category Fits,Appliances / Kitchen Appliances / Range Hoods / All Range Hoods sep Appliances / Kitchen Appliances / Range Hoods / All Range Hoods / Wall Mount Range Hoods sep Home Improvement / Kitchen Remodel & Kitchen Fixtures / Kitchen Sinks & Faucet Components / Kitchen Sinks / Farmhouse & Apron Kitchen Sinks sep Furniture / Kitchen & Dining Furniture / Kitchen Islands & Carts
"48"" sliding single track , barn door for laundry",unknown,unknown,unknown,Home Improvement / Doors & Door Hardware / Door Hardware & Accessories / Barn Door Hardware,Barn Door Hardware,Home Improvement , Doors & Door Hardware ,,No Category Fits,Home Improvement / Doors & Door Hardware / Interior Doors / Sliding Interior Doors sep Furniture / Bedroom Furniture / Armoires & Wardrobes sep Storage & Organization / Closet Storage & Organization / Closet Systems sep Storage & Organization / Wall Shelving & Organization / Wall & Display Shelves / Corner Wall & Display Shelves sep Home Improvement / Doors & Door Hardware / Interior Doors
